symbol,address_x,market_cap_x,price_usd_x,decimals_x,address_y,market_cap_y,price_usd_y,decimals_y
1INCH,,,,,,,,
AAPL,,,,,,,,
AAVE,,,,,,,,
ABNB,,,,,,,,
ACB,,,,,,,,
ALGO,,,,,,,,
ALPHA,,,,,,,,
AMC,,,,,,,,
AMD,,,,,,,,
AMZN,,,,,,,,
APE,,,,,,,,
APEAMC,,,,,,,,
APHA,,,,,,,,
APT,,,,,,,,
ARKK,,,,,,,,
ASD,,,,,,,,
ATOM,,,,,,,,
AUD,,,,,,,,
AVAX,,,,,,,,
AXS,,,,,,,,
BABA,,,,,,,,
BAND,,,,,,,,
BB,,,,,,,,
BCH,,,,,,,,
BILI,,,,,,,,
BITW,,,,,,,,
BNB,,,,,,,,
BNT,,,,,,,,
BNTX,,,,,,,,
BRZ,,,,,,,,
BTC,,,,,,,,
BYND,,,,,,,,
CAD,,,,,,,,
CEL,,,,,,,,
CGC,,,,,,,,
COIN,,,,,,,,
CRON,,,,,,,,
CUSDT,,,,,,,,
DAI,,,,,,,,
DKNG,,,,,,,,
DOGE,,,,,,,,
DOT,,,,,,,,
ETH,,,,,,,,
ETHE,,,,,,,,
ETHW,,,,,,,,
EUR,,,,,,,,
FB,,,,,,,,
FTM,,,,,,,,
GBP,,,,,,,,
GBTC,,,,,,,,
GDX,,,,,,,,
GDXJ,,,,,,,,
GLD,,,,,,,,
GLXY,,,,,,,,
GME,,,,,,,,
GMT,,,,,,,,
GOOGL,,,,,,,,
GRT,,,,,,,,
HOOD,,,,,,,,
HT,,,,,,,,
KNC,,,,,,,,
LEO,,,,,,,,
LINK,,,,,,,,
LOOKS,,,,,,,,
LTC,,,,,,,,
LUNC,,,,,,,,
MATIC,,,,,,,,
MKR,,,,,,,,
MOB,,,,,,,,
MRNA,,,,,,,,
MSOL,,,,,,,,
MSTR,,,,,,,,
NFLX,,,,,,,,
NIO,,,,,,,,
NOK,,,,,,,,
NVDA,,,,,,,,
OKB,,,,,,,,
OMG,,,,,,,,
PAXG,,,,,,,,
PENN,,,,,,,,
PFE,,,,,,,,
PYPL,,,,,,,,
RAY,,,,,,,,
REN,,,,,,,,
RSR,,,,,,,,
SLV,,,,,,,,
SNX,,,,,,,,
SOL,,,,,,,,
SPY,,,,,,,,
SQ,,,,,,,,
STETH,,,,,,,,
STSOL,,,,,,,,
SUSHI,,,,,,,,
SXP,,,,,,,,
TLRY,,,,,,,,
TOMO,,,,,,,,
TRX,,,,,,,,
TRYB,,,,,,,,
TSLA,,,,,,,,
TSM,,,,,,,,
UBER,,,,,,,,
UNI,,,,,,,,
USD,,,,,,,,
USDT,,,,,,,,
USO,,,,,,,,
USTC,,,,,,,,
WBTC,,,,,,,,
WNDR,,,,,,,,
XAUT,,,,,,,,
XRP,,,,,,,,
YFI,,,,,,,,
ZM,,,,,,,,
